system,game,integration_tier,json_file,source_fields,triggers,unsupported_fields
snes,ArcherMacleansSuperDropzone,stable,rumble\openai_retro\snes\stable\archermacleanssuperdropzone_snes.json,2,3,0
genesis,ArchRivalsTheArcadeGame,stable,rumble\openai_retro\genesis\stable\archrivalsthearcadegame_genesis.json,5,1,4
snes,ArdyLightfoot,stable,rumble\openai_retro\snes\stable\ardylightfoot_snes.json,2,3,0
genesis,ArielTheLittleMermaid,stable,rumble\openai_retro\genesis\stable\arielthelittlemermaid_genesis.json,5,4,3
genesis,ArrowFlash,stable,rumble\openai_retro\genesis\stable\arrowflash_genesis.json,2,3,0
genesis,ArtOfFighting,stable,rumble\openai_retro\genesis\stable\artoffighting_genesis.json,3,1,2
snes,ArtOfFighting,stable,rumble\openai_retro\snes\stable\artoffighting_snes.json,5,4,2
snes,Asterix,stable,rumble\openai_retro\snes\stable\asterix_snes.json,3,5,0
genesis,AsterixAndTheGreatRescue,stable,rumble\openai_retro\genesis\stable\asterixandthegreatrescue_genesis.json,4,5,1
genesis,AsterixAndThePowerOfTheGods,stable,rumble\openai_retro\genesis\stable\asterixandthepowerofthegods_genesis.json,3,5,0
genesis,AtomicRoboKid,stable,rumble\openai_retro\genesis\stable\atomicrobokid_genesis.json,2,3,0
genesis,AtomicRunner,stable,rumble\openai_retro\genesis\stable\atomicrunner_genesis.json,3,4,0
genesis,AwesomePossumKicksDrMachinosButt,stable,rumble\openai_retro\genesis\stable\awesomepossumkicksdrmachinosbutt_genesis.json,3,4,0
snes,Axelay,stable,rumble\openai_retro\snes\stable\axelay_snes.json,2,3,0
genesis,AyrtonSennasSuperMonacoGPII,stable,rumble\openai_retro\genesis\stable\ayrtonsennassupermonacogpii_genesis.json,2,0,2
genesis,BackToTheFuturePartIII,stable,rumble\openai_retro\genesis\stable\backtothefuturepartiii_genesis.json,2,3,0
genesis,BarkleyShutUpAndJam,stable,rumble\openai_retro\genesis\stable\barkleyshutupandjam_genesis.json,4,1,3
genesis,BarkleyShutUpAndJam2,stable,rumble\openai_retro\genesis\stable\barkleyshutupandjam2_genesis.json,2,1,1
genesis,BarneysHideAndSeekGame,stable,rumble\openai_retro\genesis\stable\barneyshideandseekgame_genesis.json,4,1,3
genesis,Batman,stable,rumble\openai_retro\genesis\stable\batman_genesis.json,3,5,0
genesis,BatmanReturns,stable,rumble\openai_retro\genesis\stable\batmanreturns_genesis.json,3,5,0
snes,BatmanReturns,stable,rumble\openai_retro\snes\stable\batmanreturns_snes.json,3,5,0
snes,BattleMasterKyuukyokuNoSenshiTachi,stable,rumble\openai_retro\snes\stable\battlemasterkyuukyokunosenshitachi_snes.json,5,3,3
genesis,BattleSquadron,stable,rumble\openai_retro\genesis\stable\battlesquadron_genesis.json,2,3,0
genesis,BattleTechAGameOfArmoredCombat,stable,rumble\openai_retro\genesis\stable\battletechagameofarmoredcombat_genesis.json,4,2,3
genesis,Battletoads,stable,rumble\openai_retro\genesis\stable\battletoads_genesis.json,3,5,0
genesis,BattletoadsDoubleDragon,stable,rumble\openai_retro\genesis\stable\battletoadsdoubledragon_genesis.json,3,5,0
snes,BattletoadsDoubleDragon,stable,rumble\openai_retro\snes\stable\battletoadsdoubledragon_snes.json,5,7,0
snes,BattletoadsInBattlemaniacs,stable,rumble\openai_retro\snes\stable\battletoadsinbattlemaniacs_snes.json,4,6,0
snes,BattleZequeDen,stable,rumble\openai_retro\snes\stable\battlezequeden_snes.json,2,3,0
genesis,BeautyAndTheBeastBellesQuest,stable,rumble\openai_retro\genesis\stable\beautyandthebeastbellesquest_genesis.json,3,5,0
genesis,BeautyAndTheBeastRoarOfTheBeast,stable,rumble\openai_retro\genesis\stable\beautyandthebeastroarofthebeast_genesis.json,3,5,0
snes,BebesKids,stable,rumble\openai_retro\snes\stable\bebeskids_snes.json,4,5,1
genesis,BiminiRun,stable,rumble\openai_retro\genesis\stable\biminirun_genesis.json,4,4,1
genesis,BioHazardBattle,stable,rumble\openai_retro\genesis\stable\biohazardbattle_genesis.json,2,3,0
snes,BioMetal,stable,rumble\openai_retro\snes\stable\biometal_snes.json,2,3,0
genesis,BishoujoSenshiSailorMoon,stable,rumble\openai_retro\genesis\stable\bishoujosenshisailormoon_genesis.json,3,5,0
snes,BishoujoSenshiSailorMoonR,stable,rumble\openai_retro\snes\stable\bishoujosenshisailormoonr_snes.json,5,5,2
genesis,BladesOfVengeance,stable,rumble\openai_retro\genesis\stable\bladesofvengeance_genesis.json,2,3,0
snes,BlaZeonTheBioCyborgChallenge,stable,rumble\openai_retro\snes\stable\blazeonthebiocyborgchallenge_snes.json,2,3,0
snes,BlockKuzushi,stable,rumble\openai_retro\snes\stable\blockkuzushi_snes.json,2,3,0
genesis,Blockout,stable,rumble\openai_retro\genesis\stable\blockout_genesis.json,2,1,1
genesis,BOB,stable,rumble\openai_retro\genesis\stable\bob_genesis.json,2,3,0
snes,BOB,stable,rumble\openai_retro\snes\stable\bob_snes.json,11,12,0
genesis,BodyCount,stable,rumble\openai_retro\genesis\stable\bodycount_genesis.json,2,3,0
genesis,BoogermanAPickAndFlickAdventure,stable,rumble\openai_retro\genesis\stable\boogermanapickandflickadventure_genesis.json,3,5,0
snes,BoogermanAPickAndFlickAdventure,stable,rumble\openai_retro\snes\stable\boogermanapickandflickadventure_snes.json,3,5,0
genesis,BoogieWoogieBowling,stable,rumble\openai_retro\genesis\stable\boogiewoogiebowling_genesis.json,21,0,21
genesis,BoxingLegendsOfTheRing,stable,rumble\openai_retro\genesis\stable\boxinglegendsofthering_genesis.json,2,2,0
genesis,BramStokersDracula,stable,rumble\openai_retro\genesis\stable\bramstokersdracula_genesis.json,3,5,0
snes,BramStokersDracula,stable,rumble\openai_retro\snes\stable\bramstokersdracula_snes.json,3,5,0
snes,BrawlBrothers,stable,rumble\openai_retro\snes\stable\brawlbrothers_snes.json,3,5,0
snes,BronkieTheBronchiasaurus,stable,rumble\openai_retro\snes\stable\bronkiethebronchiasaurus_snes.json,3,5,0
genesis,BubbaNStix,stable,rumble\openai_retro\genesis\stable\bubbanstix_genesis.json,3,5,0
genesis,BubbleAndSqueak,stable,rumble\openai_retro\genesis\stable\bubbleandsqueak_genesis.json,4,5,1
genesis,BubsyII,stable,rumble\openai_retro\genesis\stable\bubsyii_genesis.json,3,5,0
snes,BubsyII,stable,rumble\openai_retro\snes\stable\bubsyii_snes.json,2,3,0
genesis,BubsyInClawsEncountersOfTheFurredKind,stable,rumble\openai_retro\genesis\stable\bubsyinclawsencountersofthefurredkind_genesis.json,2,3,0
snes,BubsyInClawsEncountersOfTheFurredKind,stable,rumble\openai_retro\snes\stable\bubsyinclawsencountersofthefurredkind_snes.json,2,3,0
genesis,BullsVersusBlazersAndTheNBAPlayoffs,stable,rumble\openai_retro\genesis\stable\bullsversusblazersandthenbaplayoffs_genesis.json,6,0,6
genesis,BullsVsLakersAndTheNBAPlayoffs,stable,rumble\openai_retro\genesis\stable\bullsvslakersandthenbaplayoffs_genesis.json,5,0,5
genesis,BurningForce,stable,rumble\openai_retro\genesis\stable\burningforce_genesis.json,2,3,0
snes,CacomaKnightInBizyland,stable,rumble\openai_retro\snes\stable\cacomaknightinbizyland_snes.json,3,3,1
genesis,Cadash,stable,rumble\openai_retro\genesis\stable\cadash_genesis.json,4,1,3
genesis,Caliber50,stable,rumble\openai_retro\genesis\stable\caliber50_genesis.json,4,5,1
genesis,CaliforniaGames,stable,rumble\openai_retro\genesis\stable\californiagames_genesis.json,2,1,1
genesis,CalRipkenJrBaseball,stable,rumble\openai_retro\genesis\stable\calripkenjrbaseball_genesis.json,24,0,24
snes,Cameltry,stable,rumble\openai_retro\snes\stable\cameltry_snes.json,3,2,1
genesis,CannonFodder,stable,rumble\openai_retro\genesis\stable\cannonfodder_genesis.json,3,0,3
snes,CannonFodder,stable,rumble\openai_retro\snes\stable\cannonfodder_snes.json,3,0,3
genesis,CaptainAmericaAndTheAvengers,stable,rumble\openai_retro\genesis\stable\captainamericaandtheavengers_genesis.json,3,5,0
snes,CaptainAmericaAndTheAvengers,stable,rumble\openai_retro\snes\stable\captainamericaandtheavengers_snes.json,3,5,0
snes,CaptainCommando,stable,rumble\openai_retro\snes\stable\captaincommando_snes.json,3,5,0
genesis,CaptainPlanetAndThePlaneteers,stable,rumble\openai_retro\genesis\stable\captainplanetandtheplaneteers_genesis.json,2,3,0
genesis,CastleOfIllusion,stable,rumble\openai_retro\genesis\stable\castleofillusion_genesis.json,4,6,0
genesis,CastlevaniaBloodlines,stable,rumble\openai_retro\genesis\stable\castlevaniabloodlines_genesis.json,7,5,4
snes,CastlevaniaDraculaX,stable,rumble\openai_retro\snes\stable\castlevaniadraculax_snes.json,4,5,1
genesis,CastlevaniaTheNewGeneration,stable,rumble\openai_retro\genesis\stable\castlevaniathenewgeneration_genesis.json,3,5,0
genesis,ChampionshipProAm,stable,rumble\openai_retro\genesis\stable\championshipproam_genesis.json,7,5,2
genesis,ChampionsWorldClassSoccer,stable,rumble\openai_retro\genesis\stable\championsworldclasssoccer_genesis.json,3,0,3
genesis,ChaosEngine,stable,rumble\openai_retro\genesis\stable\chaosengine_genesis.json,2,3,0
genesis,ChaseHQII,stable,rumble\openai_retro\genesis\stable\chasehqii_genesis.json,2,1,1
genesis,CheeseCatAstropheStarringSpeedyGonzales,stable,rumble\openai_retro\genesis\stable\cheesecatastrophestarringspeedygonzales_genesis.json,3,5,0
genesis,ChesterCheetahTooCoolToFool,stable,rumble\openai_retro\genesis\stable\chestercheetahtoocooltofool_genesis.json,2,3,0
snes,ChesterCheetahTooCoolToFool,stable,rumble\openai_retro\snes\stable\chestercheetahtoocooltofool_snes.json,2,3,0
genesis,ChesterCheetahWildWildQuest,stable,rumble\openai_retro\genesis\stable\chestercheetahwildwildquest_genesis.json,4,3,2
snes,ChesterCheetahWildWildQuest,stable,rumble\openai_retro\snes\stable\chestercheetahwildwildquest_snes.json,7,8,0
genesis,ChiChisProChallengeGolf,stable,rumble\openai_retro\genesis\stable\chichisprochallengegolf_genesis.json,3,0,3
genesis,ChikiChikiBoys,stable,rumble\openai_retro\genesis\stable\chikichikiboys_genesis.json,2,3,0
snes,ChoplifterIIIRescueSurvive,stable,rumble\openai_retro\snes\stable\choplifteriiirescuesurvive_snes.json,2,3,0
snes,ChoujikuuYousaiMacrossScrambledValkyrie,stable,rumble\openai_retro\snes\stable\choujikuuyousaimacrossscrambledvalkyrie_snes.json,2,3,0
genesis,ChuckRock,stable,rumble\openai_retro\genesis\stable\chuckrock_genesis.json,3,5,0
snes,ChuckRock,stable,rumble\openai_retro\snes\stable\chuckrock_snes.json,3,5,0
genesis,ChuckRockIISonOfChuck,stable,rumble\openai_retro\genesis\stable\chuckrockiisonofchuck_genesis.json,3,5,0
genesis,ClayFighter,stable,rumble\openai_retro\genesis\stable\clayfighter_genesis.json,3,3,1
snes,Claymates,stable,rumble\openai_retro\snes\stable\claymates_snes.json,3,3,1
genesis,Cliffhanger,stable,rumble\openai_retro\genesis\stable\cliffhanger_genesis.json,3,5,0
snes,Cliffhanger,stable,rumble\openai_retro\snes\stable\cliffhanger_snes.json,3,5,0
genesis,CollegeSlam,stable,rumble\openai_retro\genesis\stable\collegeslam_genesis.json,7,0,7
genesis,Columns,stable,rumble\openai_retro\genesis\stable\columns_genesis.json,2,2,0
genesis,ColumnsIII,stable,rumble\openai_retro\genesis\stable\columnsiii_genesis.json,3,0,3
genesis,CombatCars,stable,rumble\openai_retro\genesis\stable\combatcars_genesis.json,5,1,4
genesis,ComixZone,stable,rumble\openai_retro\genesis\stable\comixzone_genesis.json,5,2,4
snes,CongosCaper,stable,rumble\openai_retro\snes\stable\congoscaper_snes.json,4,4,1
genesis,CoolSpot,stable,rumble\openai_retro\genesis\stable\coolspot_genesis.json,4,6,0
snes,CoolSpot,stable,rumble\openai_retro\snes\stable\coolspot_snes.json,8,10,0
snes,CosmoGangTheVideo,stable,rumble\openai_retro\snes\stable\cosmogangthevideo_snes.json,2,3,0
genesis,CrackDown,stable,rumble\openai_retro\genesis\stable\crackdown_genesis.json,2,3,0
genesis,CrueBallHeavyMetalPinball,stable,rumble\openai_retro\genesis\stable\crueballheavymetalpinball_genesis.json,2,1,1
genesis,Curse,stable,rumble\openai_retro\genesis\stable\curse_genesis.json,2,3,0
genesis,CutieSuzukiNoRingsideAngel,stable,rumble\openai_retro\genesis\stable\cutiesuzukinoringsideangel_genesis.json,2,0,2
genesis,CutthroatIsland,stable,rumble\openai_retro\genesis\stable\cutthroatisland_genesis.json,6,7,0
genesis,Cyberball,stable,rumble\openai_retro\genesis\stable\cyberball_genesis.json,4,1,3
snes,Cybernator,stable,rumble\openai_retro\snes\stable\cybernator_snes.json,2,2,0
genesis,CyborgJustice,stable,rumble\openai_retro\genesis\stable\cyborgjustice_genesis.json,3,5,0
snes,DaffyDuckTheMarvinMissions,stable,rumble\openai_retro\snes\stable\daffyduckthemarvinmissions_snes.json,3,5,0
genesis,DaisenpuuTwinHawk,stable,rumble\openai_retro\genesis\stable\daisenpuutwinhawk_genesis.json,2,3,0
genesis,DangerousSeed,stable,rumble\openai_retro\genesis\stable\dangerousseed_genesis.json,3,5,0
snes,DariusForce,stable,rumble\openai_retro\snes\stable\dariusforce_snes.json,2,3,0
genesis,DariusII,stable,rumble\openai_retro\genesis\stable\dariusii_genesis.json,3,4,0
snes,DariusTwin,stable,rumble\openai_retro\snes\stable\dariustwin_snes.json,2,3,0
genesis,DarkCastle,stable,rumble\openai_retro\genesis\stable\darkcastle_genesis.json,3,5,0
genesis,Darwin4081,stable,rumble\openai_retro\genesis\stable\darwin4081_genesis.json,2,3,0
genesis,DashinDesperadoes,stable,rumble\openai_retro\genesis\stable\dashindesperadoes_genesis.json,4,1,3
genesis,DavidRobinsonsSupremeCourt,stable,rumble\openai_retro\genesis\stable\davidrobinsonssupremecourt_genesis.json,6,1,5
genesis,DazeBeforeChristmas,stable,rumble\openai_retro\genesis\stable\dazebeforechristmas_genesis.json,3,5,0
snes,DazeBeforeChristmas,stable,rumble\openai_retro\snes\stable\dazebeforechristmas_snes.json,3,5,0
genesis,DeadlyMoves,stable,rumble\openai_retro\genesis\stable\deadlymoves_genesis.json,3,3,1
genesis,DeathDuel,stable,rumble\openai_retro\genesis\stable\deathduel_genesis.json,2,3,0
snes,DennisTheMenace,stable,rumble\openai_retro\snes\stable\dennisthemenace_snes.json,2,3,0
genesis,DesertStrikeReturnToTheGulf,stable,rumble\openai_retro\genesis\stable\desertstrikereturntothegulf_genesis.json,3,3,1
genesis,DevilCrashMD,stable,rumble\openai_retro\genesis\stable\devilcrashmd_genesis.json,2,1,1
genesis,DevilishTheNextPossession,stable,rumble\openai_retro\genesis\stable\devilishthenextpossession_genesis.json,4,3,2
genesis,DickTracy,stable,rumble\openai_retro\genesis\stable\dicktracy_genesis.json,3,5,0
genesis,DickVitalesAwesomeBabyCollegeHoops,stable,rumble\openai_retro\genesis\stable\dickvitalesawesomebabycollegehoops_genesis.json,4,0,4
snes,DimensionForce,stable,rumble\openai_retro\snes\stable\dimensionforce_snes.json,2,3,0
snes,DinoCity,stable,rumble\openai_retro\snes\stable\dinocity_snes.json,3,5,0
genesis,DinoLand,stable,rumble\openai_retro\genesis\stable\dinoland_genesis.json,2,1,1
genesis,DJBoy,stable,rumble\openai_retro\genesis\stable\djboy_genesis.json,2,3,0
snes,DonkeyKongCountry,stable,rumble\openai_retro\snes\stable\donkeykongcountry_snes.json,2,3,0
snes,DonkeyKongCountry2,stable,rumble\openai_retro\snes\stable\donkeykongcountry2_snes.json,2,2,1
snes,DonkeyKongCountry3DixieKongsDoubleTrouble,stable,rumble\openai_retro\snes\stable\donkeykongcountry3dixiekongsdoubletrouble_snes.json,2,3,0
genesis,DoubleDragon,stable,rumble\openai_retro\genesis\stable\doubledragon_genesis.json,3,5,0
genesis,DoubleDragonIITheRevenge,stable,rumble\openai_retro\genesis\stable\doubledragoniitherevenge_genesis.json,4,5,1
genesis,DoubleDragonVTheShadowFalls,stable,rumble\openai_retro\genesis\stable\doubledragonvtheshadowfalls_genesis.json,2,1,1
genesis,DoubleDribbleThePlayoffEdition,stable,rumble\openai_retro\genesis\stable\doubledribbletheplayoffedition_genesis.json,4,0,4
snes,DragonsLair,stable,rumble\openai_retro\snes\stable\dragonslair_snes.json,3,5,0
genesis,DragonsRevenge,stable,rumble\openai_retro\genesis\stable\dragonsrevenge_genesis.json,9,8,1
genesis,DragonTheBruceLeeStory,stable,rumble\openai_retro\genesis\stable\dragonthebruceleestory_genesis.json,3,5,0
snes,DragonTheBruceLeeStory,stable,rumble\openai_retro\snes\stable\dragonthebruceleestory_snes.json,5,7,0
genesis,DreamTeamUSA,stable,rumble\openai_retro\genesis\stable\dreamteamusa_genesis.json,5,0,5
genesis,DrRobotniksMeanBeanMachine,stable,rumble\openai_retro\genesis\stable\drrobotniksmeanbeanmachine_genesis.json,2,2,0
genesis,DynamiteDuke,stable,rumble\openai_retro\genesis\stable\dynamiteduke_genesis.json,2,3,0
genesis,DynamiteHeaddy,stable,rumble\openai_retro\genesis\stable\dynamiteheaddy_genesis.json,4,5,1
genesis,EarnestEvans,stable,rumble\openai_retro\genesis\stable\earnestevans_genesis.json,2,3,0
snes,EarthDefenseForce,stable,rumble\openai_retro\snes\stable\earthdefenseforce_snes.json,2,3,0
genesis,ElementalMaster,stable,rumble\openai_retro\genesis\stable\elementalmaster_genesis.json,2,3,0
genesis,EliminateDown,stable,rumble\openai_retro\genesis\stable\eliminatedown_genesis.json,2,3,0
genesis,ElViento,stable,rumble\openai_retro\genesis\stable\elviento_genesis.json,2,3,0
genesis,ESPNBaseballTonight,stable,rumble\openai_retro\genesis\stable\espnbaseballtonight_genesis.json,10,4,6
genesis,EuropeanClubSoccer,stable,rumble\openai_retro\genesis\stable\europeanclubsoccer_genesis.json,4,1,3
genesis,ExMutants,stable,rumble\openai_retro\genesis\stable\exmutants_genesis.json,4,6,0
genesis,F1,stable,rumble\openai_retro\genesis\stable\f1_genesis.json,2,2,0
genesis,FaeryTaleAdventure,stable,rumble\openai_retro\genesis\stable\faerytaleadventure_genesis.json,5,0,5
snes,FamilyDog,stable,rumble\openai_retro\snes\stable\familydog_snes.json,3,5,0
genesis,Fantasia,stable,rumble\openai_retro\genesis\stable\fantasia_genesis.json,3,5,0
genesis,FantasticDizzy,stable,rumble\openai_retro\genesis\stable\fantasticdizzy_genesis.json,3,5,0
genesis,FatalFury,stable,rumble\openai_retro\genesis\stable\fatalfury_genesis.json,5,2,4
genesis,FatalFury2,stable,rumble\openai_retro\genesis\stable\fatalfury2_genesis.json,5,2,4
genesis,FatalLabyrinth,stable,rumble\openai_retro\genesis\stable\fatallabyrinth_genesis.json,2,2,1
genesis,FatalRewind,stable,rumble\openai_retro\genesis\stable\fatalrewind_genesis.json,3,5,0
genesis,FerrariGrandPrixChallenge,stable,rumble\openai_retro\genesis\stable\ferrarigrandprixchallenge_genesis.json,4,0,4
genesis,FightingMasters,stable,rumble\openai_retro\genesis\stable\fightingmasters_genesis.json,3,2,2
snes,FinalFight,stable,rumble\openai_retro\snes\stable\finalfight_snes.json,2,3,0
snes,FinalFight2,stable,rumble\openai_retro\snes\stable\finalfight2_snes.json,3,5,0
snes,FinalFight3,stable,rumble\openai_retro\snes\stable\finalfight3_snes.json,3,5,0
snes,FinalFightGuy,stable,rumble\openai_retro\snes\stable\finalfightguy_snes.json,3,5,0
snes,FirstSamurai,stable,rumble\openai_retro\snes\stable\firstsamurai_snes.json,5,6,1
genesis,Flicky,stable,rumble\openai_retro\genesis\stable\flicky_genesis.json,3,4,0
genesis,Flintstones,stable,rumble\openai_retro\genesis\stable\flintstones_genesis.json,2,3,0
snes,Flintstones,stable,rumble\openai_retro\snes\stable\flintstones_snes.json,2,3,0
snes,FlyingHeroBugyuruNoDaibouken,stable,rumble\openai_retro\snes\stable\flyingherobugyurunodaibouken_snes.json,2,3,0
genesis,ForemanForReal,stable,rumble\openai_retro\genesis\stable\foremanforreal_genesis.json,5,0,5
